uyler,Hector (Town),0.2 MI NORTH OF VALOIS,414 414 63031207 BREAKNECK CREEK,NYSDOT,1992,07/14/2016,N,6.40
uyler,Hector (Town),2.0 MI NW OF PERRY CITY,BOWER RD BOLTER CREEK,30 - County,2014,10/10/2016,N,6.71
uyler,Hector (Town),.4 MILES SOUTH PERRY CITY,BUCK HILL ROAD TAUGHANNOCK CREEK,30 - County,1998,07/14/2016,N,6.49
uyler,Hector (Town),3.8 MI NW OF PERRY CITY,BURR ROAD BOLTER CREEK,30 - County,1987,04/13/2017,SD,4.45
uyler,Hector (Town),2.0 MI SOUTH OF PERRY CIY,CARMAN ROAD TAUGHANNOCK CREEK,30 - County,1991,07/14/2016,N,6.48
uyler,Hector (Town),2.9 MI NW OF PERRY CITY,COUNTY ROAD 1 BOLTER CREEK,30 - County,1938,07/20/2016,N,4.21
uyler,Hector (Town),2.3 MI E OF HECTOR,COUNTY ROAD 4 SAWMILL CREEK,30 - County,2012,09/27/2016,N,6.85
uyler,Hector (Town),IN CAYUTAVILLE,COUNTY ROAD 6 CAYUTA CREEK,30 - County,1940,04/11/2017,N,3.96
uyler,Hector (Town),IN MECKLENBURG,COUNTY ROAD 6 TAUGHANNOCK CREEK,30 - County,2007,04/24/2017,N,6.52
uyler,Hector (Town),0.2 MI S OF MECKLENBURG,COUNTY ROAD 6 TAUGHANNOCK CREEK,30 - County,1992,07/20/2016,N,6.26
uyler,Hector (Town),1 MI S JCT RTE 79 &CO RD9,COUNTY ROAD 9 EXCELSIOR GLEN,30 - County,1981,09/26/2016,N,5.24
uyler,Hector (Town),0.2 MI NE OF SMITH VALLEY,CULVER ROAD TAUGHANNOCK CREEK,40 - Town,1936,07/25/2016,SD,3.15
uyler,Hector (Town),1.3 MI S OF BURDETTE,DOLPHSBURG RD DOLPHSBURG CREEK,40 - Town,1936,07/27/2016,N,5.00
uyler,Hector (Town),5.2 MI.E.OF BURDETT,HAVENS ROAD TAUGHANNOCK CREEK,30 - County,1989,07/25/2016,N,6.47
uyler,Hector (Town),3.5 MI NE OF BURDETTE,MARK SMITH ROAD LOGAN CREEK,40 - Town,1936,06/02/2016,N,5.67
uyler,Hector (Town),0.7 MI SW OF MECKLENBURG,SHULER RD TAUGHANNOCK CRK,40 - Town,1971,09/11/2017,N,3.67
uyler,Hector (Town),1.8 MI W OF PERRY CITY,STILLWELL RD JOHN BLACK CREEK,40 - Town,1976,06/03/2016,N,3.00
uyler,Hector (Town),2.0 MI W OF PERRY CITY,STILLWELL ROAD TAUGHANNOCK CREEK,30 - County,2007,10/17/2017,N,6.19
uyler,Hector (Town),0.4 MI W OF VALOIS,VALOIS POINT ROAD BREAKNECK CREEK,30 - County,2002,04/24/2017,FO,6.71
uyler,Hector (Town),1.1 MI NE OF PERRY CITY,WILLIAMEE ROAD JOHN BLACK CREEK,30 - County,1985,09/27/2016,N,4.90
uyler,Montour Falls (Village),1.0 MI S OF MONTOUR FALLS,14  14 63021033 McClure Creek,NYSDOT,1951,11/17/2016,N,5.77
uyler,Montour Falls (Village),0.9 MI S OF MONTOUR FALLS,14  14 63021035 Diversion Channel,NYSDOT,1950,11/17/2016,N,5.15
uyler,Montour Falls (Village),0.3 MI N OF MONTOUR FALLS,14  14 63021047 CATHARINE CREEK,NYSDOT,1981,10/14/2015,N,5.31
uyler,Montour Falls (Village),0.3 MI SE JCT RTS 14 +224,224 224 63021143 Diversion Channel,NYSDOT,1950,11/18/2016,N,5.31
uyler,Montour Falls (Village),IN MONTOUR FALLS,MARINA DRIVE CATHARINE CREEK,41 - Village,1960,06/21/2017,SD,4.52
uyler,Montour Falls (Village),IN MONTOUR FALLS,MILL STREET CHEQUAGA FALLS,30 - County,1949,09/01/2016,N,3.44
uyler,Montour Falls (Village),IN MONTOUR FALLS,N  LHOMMEDIEU STR JOHNS CREEK,30 - County,1936,03/30/2016,N,4.24
uyler,Montour Falls (Village),IN MONTOUR FALLS,N GENESEE STREET SHEQUAGA CREEK,20 - State - Other,1954,07/11/2017,N,5.00
uyler,Montour Falls (Village),VILLAGE OF MONTOUR FALLS,N SENECA STREET JOHNS CREEK,41 - Village,1997,04/11/2017,N,6.00
uyler,Montour Falls (Village),IN MONTOUR FALLS,S LHOMMEDIEU STR DECKERTOWN CREEK,30 - County,1937,07/19/2016,N,5.04
uyler,Montour (Town),1.4 MI S OF MONTOUR FALLS,14  14 63021029 HENYON CREEK,NYSDOT,1931,04/27/2017,SD,3.39
"",,,"NY State Highway Bridge Data:  October 31, 2017",,,,,
"",,,Schuyler County,,,,,
"",,,,,Year,Date,,NYS
"",,,,,Built or,of Last,SD/FO,Condition
nty,Municipality,Location,Feature Carried Feature Crossed,Owner,Replaced,Inspection,Status,Rating
uyler,Montour (Town),1 MI SE JCT SR 14 & SR224,224 224 63021136 CATLIN MILL CREEK,NYSDOT,1960,06/19/2017,N,5.57
uyler,Montour (Town),3.4 S OF MONTOUR FALLS,CROTON ROAD CATHARINE CREEK,30 - County,1988,07/19/2016,FO,4.79
uyler,Montour (Town),1.9 MI SE MONTOUR FALLS,FITZPATRICK ROAD SULLIVAN GLEN CRK,40 - Town,1995,04/10/2017,N,6.33
uyler,Montour (Town),3.3 MI S OF MONTOUR FALLS,FITZPATRICK ROAD TRIB.CATHARINE CR,40 - Town,1986,07/13/2016,N,5.39
uyler,Montour (Town),1.0 MI SW OF ODESSA,MITCHELL HOLLOWRD MCCLURE CREEK,40 - Town,1952,05/25/2016,N,6.03
uyler,Montour (Town),1.3 MI S OF MONTOUR FALLS,SOUTH GENESEE RD CATHARINE CREEK,40 - Town,2011,10/18/2017,N,6.06
uyler,Odessa (Village),0.2 MI NE JCT RTS 224&228,228 228 63011003 CATLIN MILL CREEK,NYSDOT,1982,07/18/2017,SD,5.00
uyler,Odessa (Village),0.5 MI NE JCT RTS 224&228,228 228 63011004 CATLIN MILL CREEK,NYSDOT,1982,07/18/2017,N,4.59
uyler,Odessa (Village),IN ODESSA,COTTON HANLON RD DECKERTOWN CREEK,41 - Village,1931,06/01/2016,SD,3.53
uyler,Odessa (Village),IN ODESSA,MILL STREET DECKERTOWN CREEK,30 - County,2013,10/18/2017,N,7.00
uyler,Orange (Town),IN MONTEREY,COUNTY ROAD 16 MEADS CREEK,30 - County,1937,07/20/2016,N,5.11
uyler,Orange (Town),2.0 MI NE OF MONTEREY,COUNTY ROAD 16 TRIB MEADS CREEK,30 - County,2002,04/17/2017,N,3.91
uyler,Orange (Town),1.6 MI NE OF MONTEREY,COUNTY ROAD 16 TRIB MEADS CREEK,30 - County,1931,06/06/2016,SD,3.95
uyler,Orange (Town),2.4 MI NE OF MONTEREY,COUNTY ROAD 16 TRIB MEADS CREEK,30 - County,2003,08/31/2017,N,7.00
uyler,Orange (Town),0.8 MI SW OF MONTEREY,COUNTY ROAD 16 TRIB MEADS CREEK,30 - County,1984,07/20/2016,N,4.53
uyler,Orange (Town),2.3 MI SW OF MONTEREY,COUNTY ROAD 16 TRIB MEADS CREEK,30 - County,1969,05/02/2017,FO,5.00
uyler,Orange (Town),1.0 MI N OF MONTEREY,COUNTY ROAD 22 TRIB MEADS CREEK,30 - County,1936,04/17/2017,N,6.14
uyler,Orange (Town),0.2 MI W OF BEAVER DAMS,HORNBY ROAD TRIB POST CREEK,30 - County,1941,06/30/2016,N,4.19
uyler,Orange (Town),1 MILE S OF MONTEREY,HORNBY ROAD TRIB MEADS CREEK,30 - County,1996,04/03/2017,N,6.91
uyler,Orange (Town),2.4 MI SW OF MONTERERY,SEXTON HOLLOW RD TRIB TO MEADS CK,40 - Town,1981,08/22/2016,SD,4.26
