York,New York (City),3.7 MI NE FDR DR+BKLYN BR,907L907LX4M11037 AVENUE C N/B,42 - City,1947,07/06/2016,FO,5.04
York,New York (City),JCT.FDR DRIVE & 34TH ST.,907L907LX4M11047 ROAD TO 34TH ST,NYSDOT,1966,06/24/2017,FO,3.90
York,New York (City),FDR DR AND E96 STREET,907L907LX4M11080 EAST 96TH STREET,NYSDOT,1954,06/28/2016,FO,5.53
York,New York (City),.9 MI NE FDR DR+BATTERY,907L907LX4M12008 SOUTH STREET,NYSDOT,1954,09/09/2016,FO,4.37
York,New York (City),.2 MI SW JCT FDR DR.&SH25,907L907LX4M12059 907L907LX4M11058,42 - City,1941,11/22/2016,FO,6.22
York,New York (City),.9 MI NE FDR DR+BATTERY,907L907LX4MR03A1 907L 907LX4MR03D1,42 - City,1954,07/22/2016,FO,5.81
York,New York (City),.9 MI NE FDR DR+BATTERY,907L907LX4MR03B1 907L 907LX4M12014,42 - City,1954,04/06/2016,FO,4.83
York,New York (City),BROOKLYN BR OVER EAST RVR,907L907LX4MR03C FDR SB AT PEARL,42 - City,1964,10/04/2016,FO,6.08
York,New York (City),EAST RIVER PARK,907L907LX4MR06A1 RELIEF,42 - City,1953,01/19/2016,N,4.93
York,New York (City),EAST RVR DRIVE N.B. RAMP,907L907LX4MR06B1 RELIEF,42 - City,1953,01/19/2016,N,4.96
York,New York (City),JCT FDR DRIVE & 34TH ST,907L907LX4MR08A1 PARKING LOT,NYSDOT,1966,06/14/2017,SD,3.89
York,New York (City),JCT.FDR DRIVE & 34TH ST.,907L907LX4MR09A2 907L907LX4MR09B1,NYSDOT,1949,12/03/2016,FO,4.53
York,New York (City),EAST 48TH ST & FDR DRIVE,907L907LX4MR10A1 907L907LX4M12056,NYSDOT,1998,11/08/2016,FO,6.38
York,New York (City),4.4 MI NE FDR DR+ROUTE 25,907P 907PX4MR04A1 907P 907PX4M11012,NYSDOT,1963,05/23/2017,FO,5.48
York,New York (City),3.6 MI NE JCT FDR & SH 25,907P907PX4M11003 RAMP TO N.B HRD,42 - City,1958,06/27/2017,SD,4.29
York,New York (City),5.1 MI NE JCT FDR DR&SH25,907P907PX4M11016 NYCTA IRT SUBWAY,NYSDOT,1960,12/05/2016,FO,4.25
York,New York (City),2 MI N JCT TRIBO BR & HRD,907P907PX4M11022 HARLEM RVR SHORE,NYSDOT,1966,07/28/2016,FO,4.49
York,New York (City),5.6 MI NE FDR DR+ROUTE 25,907P907PX4M12022 907P 907PX4MR05A1,NYSDOT,1966,06/01/2016,FO,4.75
York,New York (City),OVER HARLEM RVR IN HARLEM,907P907PX4MR01A2 Harlem River DR N,42 - City,2010,10/25/2016,FO,6.63
York,New York (City),4.2 MI NE FDR DR+ROUTE 25,907P907PX4MR03A1 907P 907PX4M11010,NYSDOT,1963,02/03/2016,FO,4.36
York,New York (City),5.8 MI NE FDR DR+ROUTE 25,907P907PX4MR06A2 907P 907PX4MR06B1,NYSDOT,1966,04/19/2016,FO,4.53
York,New York (City),1.9 MI N OF G WASH BR,907V907V4M12142 PED UP INWOOD PK,42 - City,1936,01/19/2016,FO,5.53
York,New York (City),JCT OF US 9A & 72ND STREE,907V907VX4M11074 79TH STREET,42 - City,1937,11/18/2016,SD,3.48
York,New York (City),.3 MI NE JCT SH9A&79TH ST,907V907VX4M11076 RIVERSIDE PARK,42 - City,1938,01/11/2016,FO,5.27
York,New York (City),.7 MI NE ROUTE 9A+79 ST,907V907VX4M11080 907V907VX4MR02A1,42 - City,1938,01/27/2016,FO,4.36
York,New York (City),JCT.96TH ST & H.HUDSON PK,907V907VX4M11083 AMTRAK W SIDE CON,42 - City,1936,11/16/2016,FO,3.38
York,New York (City),1 MI NE ROUTE 9A+79 ST,907V907VX4M11084 RAMP TO HHP SB,42 - City,1938,01/29/2016,FO,5.30
York,New York (City),3 MI NE ROUTE 9A+79 ST,907V907VX4M11098 ST CLAIR PLACE,NYSDOT,1939,04/29/2016,FO,4.86
York,New York (City),RTE 9A NEAR 148 ST,907V907VX4M11108 PED UP NR 148 ST,42 - City,1936,01/28/2016,FO,5.00
"",,,"NY State Highway Bridge Data:  October 31, 2017",,,,,
"",,,New York County,,,,,
"",,,,,Year,Date,,NYS
"",,,,,Built or,of Last,SD/FO,Condition
nty,Municipality,Location,Feature Carried Feature Crossed,Owner,Replaced,Inspection,Status,Rating
York,New York (City),1.7 MI N OF G WASH BR,907V907VX4M11141 PED UP INWOOD PK,42 - City,1936,01/19/2016,FO,5.00
York,New York (City),.7 MI NE ROUTE 9A+79 ST,907V907VX4M12080 907V907VX4MR02A1,42 - City,1938,01/27/2016,FO,4.27
York,New York (City),1 MI NE ROUTE 9A+79 ST,907V907VX4M12084 RAMP TO HHP SB,42 - City,1938,01/29/2016,FO,5.13
York,New York (City),.1 MI W OF EXIT 7 - HHP,907V907VX4M12120 PARK ROAD,NYSDOT,1938,01/21/2016,FO,5.00
York,New York (City),5 MI NE JCT SH9A &79TH ST,907V907VX4M12123 TERRAIN,NYSDOT,1937,07/13/2015,N,4.62
York,New York (City),5.2 MI NE ROUTE 9A+79 ST,907V907VX4M12124 PARK PATH,NYSDOT,1939,01/21/2016,FO,4.81
York,New York (City),1 MI N OF GEO WASH BRIDGE,907V907VX4M12128 OTHER,NYSDOT,1939,04/06/2016,N,5.73
York,New York (City),6.4 MI NE ROUTE 9A+79 ST,907V907VX4M12135 DYCKMAN STREET,NYSDOT,1939,09/20/2016,FO,4.20
York,New York (City),79 ST BOAT BASIN,907V907VX4MR01E1 79ST BT BASIN GRG,42 - City,1935,05/11/2017,FO,5.60
York,New York (City),79 ST BOAT BASIN,907V907VX4MR01F1 79ST BT BASIN GRG,42 - City,1935,05/08/2017,SD,4.91
York,New York (City),3 MI NE ROUTE 9A+79 ST,907V907VX4MR03B11 W 135 ST,NYSDOT,1939,05/25/2016,FO,5.06
